Designator,Mid X,Mid Y,Rotation,Layer
A1,83.24,-126.385,90.0,top
D1,75.8875,-142.685,90.0,bottom
D10,247.3375,-142.685,90.0,bottom
D11,266.3875,-142.685,90.0,bottom
D12,285.4375,-142.685,90.0,bottom
D13,304.4875,-142.685,90.0,bottom
D14,333.0625,-142.685,90.0,bottom
D15,80.65,-161.735,90.0,bottom
D16,104.4625,-161.735,90.0,bottom
D17,123.5125,-161.735,90.0,bottom
D18,142.5625,-161.735,90.0,bottom
D19,161.6125,-161.735,90.0,bottom
D2,94.9375,-142.685,90.0,bottom
D20,180.6625,-161.735,90.0,bottom
D21,199.7125,-161.735,90.0,bottom
D22,218.7625,-161.735,90.0,bottom
D23,237.8125,-161.735,90.0,bottom
D24,256.8625,-161.735,90.0,bottom
D25,275.9125,-161.735,90.0,bottom
D26,294.9625,-161.735,90.0,bottom
D27,314.325,-170.565,90.0,bottom
D28,339.275,-166.875,90.0,bottom
D29,83.0313,-180.785,90.0,bottom
D3,113.9875,-142.685,90.0,bottom
D30,109.225,-180.785,90.0,bottom
D31,128.275,-180.785,90.0,bottom
D32,147.325,-180.785,90.0,bottom
D33,166.375,-180.785,90.0,bottom
D34,185.425,-180.785,90.0,bottom
D35,204.475,-180.785,90.0,bottom
D36,223.525,-180.785,90.0,bottom
D37,242.575,-180.785,90.0,bottom
D38,261.625,-180.785,90.0,bottom
D39,280.675,-180.785,90.0,bottom
D4,133.0375,-142.685,90.0,bottom
D40,299.725,-180.785,90.0,bottom
D41,330.6813,-180.785,90.0,bottom
D42,87.7938,-199.835,90.0,bottom
D43,118.75,-199.835,90.0,bottom
D44,137.8,-199.835,90.0,bottom
D45,156.85,-199.835,90.0,bottom
D46,175.9,-199.835,90.0,bottom
D47,194.95,-199.835,90.0,bottom
D48,214.0,-199.835,90.0,bottom
D49,233.05,-199.835,90.0,bottom
D5,152.0875,-142.685,90.0,bottom
D50,252.1,-199.835,90.0,bottom
D51,271.15,-199.835,90.0,bottom
D52,290.2,-199.835,90.0,bottom
D53,325.9188,-199.835,90.0,bottom
D54,78.2688,-218.885,90.0,bottom
D55,102.0813,-218.885,90.0,bottom
D56,125.8938,-218.885,90.0,bottom
D57,197.3313,-218.885,90.0,bottom
D58,268.7688,-218.885,90.0,bottom
D59,292.5813,-218.885,90.0,bottom
D6,171.1375,-142.685,90.0,bottom
D60,316.3938,-218.885,90.0,bottom
D61,340.2063,-218.885,90.0,bottom
D62,302.125,-123.115,90.0,bottom
D63,331.275,-123.275,90.0,bottom
D7,190.1875,-142.685,90.0,bottom
D8,209.2375,-142.685,90.0,bottom
D9,228.2875,-142.685,90.0,bottom
J1,137.025,-125.0,180.0,top
J2,224.135,-124.86,180.0,top
R1,118.3,-115.75,0.0,top
R2,129.7,-115.65,0.0,top
SW1,68.2675,-146.455,0.0,top
SW10,239.7175,-146.455,0.0,top
SW11,258.7675,-146.455,0.0,top
SW12,277.8175,-146.455,0.0,top
SW13,296.8675,-146.455,0.0,top
SW14,325.4425,-149.4025,0.0,top
SW15,73.03,-165.505,0.0,top
SW16,96.8425,-165.505,0.0,top
SW17,115.8925,-165.505,0.0,top
SW18,134.9425,-165.505,0.0,top
SW19,153.9925,-165.505,0.0,top
SW2,87.3175,-146.455,0.0,top
SW20,173.0425,-165.505,0.0,top
SW21,192.0925,-165.505,0.0,top
SW22,211.1425,-165.505,0.0,top
SW23,230.1925,-165.505,0.0,top
SW24,249.2425,-165.505,0.0,top
SW25,268.2925,-165.505,0.0,top
SW26,287.3425,-165.505,0.0,top
SW27,306.3925,-165.505,0.0,top
SW28,330.205,-165.505,0.0,top
SW29,75.4113,-184.555,0.0,top
SW3,106.3675,-146.455,0.0,top
SW30,101.605,-184.555,0.0,top
SW31,120.655,-184.555,0.0,top
SW32,139.705,-184.555,0.0,top
SW33,158.755,-184.555,0.0,top
SW34,177.805,-184.555,0.0,top
SW35,196.855,-184.555,0.0,top
SW36,215.905,-184.555,0.0,top
SW37,234.955,-184.555,0.0,top
SW38,254.005,-184.555,0.0,top
SW39,273.055,-184.555,0.0,top
SW4,125.4175,-146.455,0.0,top
SW40,292.105,-184.555,0.0,top
SW41,323.0613,-187.5025,0.0,top
SW42,80.1738,-206.5525,0.0,top
SW43,111.13,-203.605,0.0,top
SW44,130.18,-203.605,0.0,top
SW45,149.23,-203.605,0.0,top
SW46,168.28,-203.605,0.0,top
SW47,187.33,-203.605,0.0,top
SW48,206.38,-203.605,0.0,top
SW49,225.43,-203.605,0.0,top
SW5,144.4675,-146.455,0.0,top
SW50,244.48,-203.605,0.0,top
SW51,263.53,-203.605,0.0,top
SW52,282.58,-203.605,0.0,top
SW53,318.2988,-206.5525,0.0,top
SW54,70.6488,-222.655,0.0,top
SW55,94.4613,-222.655,0.0,top
SW56,118.2738,-222.655,0.0,top
SW57,189.7113,-225.6025,0.0,top
SW58,261.1488,-222.655,0.0,top
SW59,284.9613,-222.655,0.0,top
SW6,163.5175,-146.455,0.0,top
SW60,308.7738,-222.655,0.0,top
SW61,332.5863,-222.655,0.0,top
SW62,290.025,-126.075,0.0,top
SW63,319.67,-126.22,0.0,top
SW7,182.5675,-146.455,0.0,top
SW8,201.6175,-146.455,0.0,top
SW9,220.6675,-146.455,0.0,top
U1,122.3,-123.8875,90.0,top
