Name,Qty,Final Price,Link
Cherry Profile PBT Keycaps,1,17,https://www.aliexpress.com/item/1005009109030179.html
EC11s Rotary Encoder Code 5pin,,8,https://www.aliexpress.us/item/1005008610645902.html
Knob,2,6,https://www.aliexpress.us/item/1005008610645902.html
OLED Module 1,1,4,https://www.aliexpress.com/item/1005007038294972.html
OLED Module 2,1,4,
Gateron EF Grayish,70,22,https://www.aliexpress.us/item/1005006358112479.html
Plate Mount Stabilizers,9,9,https://www.aliexpress.us/item/1005006528731543.html
m3 16 mm,10,3,https://www.aliexpress.us/item/32810872544.html
M3 25 mm,10,3,https://www.aliexpress.us/item/32810872544.html
PCB,44,40,
Raspberry Pi Pico,6,6,https://www.aliexpress.us/item/1005007661444023.html
Poron Gasket Strip,,4,https://www.aliexpress.com/item/1005003607093794.html
M3(OD4.2mm) Heatset Insert,25,2,https://www.aliexpress.us/item/1005003582355741.html
Keyboard Case,1,5,Print Legend
Diode 1N4148 Through,80,1.3,https://www.aliexpress.us/item/4000142272546.html

